,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,usCite_1,usCite_2,,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
2463,1958-094,1958-094-01,1958-094-01-01,1958-094-01-01-01,6/1/59,1,359 U.S. 535,359,535,,79 S. Ct. 968,3 L. Ed. 2d 1012,1959 U.S. LEXIS 899,1958,1406,Warren,101,"VITARELLI v. SEATON, SECRETARY OF THE INTERIOR, et al.",4/1/59,,8,60,326,,1,26,,0,55,,32,,1,11,2,1,1,3,0,1,0,0,30120,3,2,0,5,,5,511,,91,90,1,5,4
2474,1958-101,1958-101-01,1958-101-01-01,1958-101-01-01-01,6/8/59,1,360 U.S. 72,360,72,,79 S. Ct. 1040,3 L. Ed. 2d 1090,1959 U.S. LEXIS 853,1958,1406,Warren,34,"UPHAUS v. WYMAN, ATTORNEY GENERAL OF NEW HAMPSHIRE",11/17/58,,254,,19,34,2,,,0,302,34,300,34,0,1,2,1,1,2,0,0,0,0,30050,3,1,0,4,,3,369,,88,80,1,5,4
2475,1958-101,1958-101-01,1958-101-01-02,1958-101-01-02-01,6/8/59,1,360 U.S. 72,360,72,,79 S. Ct. 1040,3 L. Ed. 2d 1090,1959 U.S. LEXIS 853,1958,1406,Warren,34,"UPHAUS v. WYMAN, ATTORNEY GENERAL OF NEW HAMPSHIRE",11/17/58,,254,,19,34,2,,,0,302,34,300,34,0,1,2,1,1,2,0,0,0,0,30050,3,1,0,2,,2,201,,88,80,1,5,4
2476,1958-102,1958-102-01,1958-102-01-01,1958-102-01-01-01,6/8/59,1,360 U.S. 109,360,109,,79 S. Ct. 1081,3 L. Ed. 2d 1115,1959 U.S. LEXIS 1809,1958,1406,Warren,35,BARENBLATT v. UNITED STATES,11/18/58,,254,,27,,1,,,0,55,,32,,1,11,2,1,1,2,0,0,0,0,30050,3,1,0,1,,2,207,,91,80,1,5,4
2477,1958-102,1958-102-01,1958-102-01-02,1958-102-01-02-01,6/8/59,1,360 U.S. 109,360,109,,79 S. Ct. 1081,3 L. Ed. 2d 1115,1959 U.S. LEXIS 1809,1958,1406,Warren,35,BARENBLATT v. UNITED STATES,11/18/58,,254,,27,,1,,,0,55,,32,,1,11,2,1,1,2,0,0,0,0,30050,3,1,0,1,,2,201,,91,80,1,5,4
2506,1958-124,1958-124-01,1958-124-01-01,1958-124-01-01-01,6/22/59,1,360 U.S. 423,360,423,,79 S. Ct. 1257,3 L. Ed. 2d 1344,1959 U.S. LEXIS 754,1958,1406,Warren,175,RALEY et al. v. OHIO,4/22/59,,254,,28,41,1,,,0,302,41,300,41,0,10,2,1,1,3,0,1,0,0,30050,3,2,0,4,,6,600,28 U.S.C. § 1257,92,90,1,8,0
2507,1958-124,1958-124-02,1958-124-02-01,1958-124-02-01-01,6/22/59,1,360 U.S. 423,360,423,,79 S. Ct. 1257,3 L. Ed. 2d 1344,1959 U.S. LEXIS 754,1958,1406,Warren,463,MORGAN v. OHIO,4/22/59,,254,,28,41,1,,,0,302,41,300,41,0,10,2,1,1,3,0,1,0,0,30050,3,2,0,4,,6,600,28 U.S.C. § 1257,92,90,1,8,0
2508,1958-124,1958-124-02,1958-124-02-02,1958-124-02-02-01,6/22/59,1,360 U.S. 423,360,423,,79 S. Ct. 1257,3 L. Ed. 2d 1344,1959 U.S. LEXIS 754,1958,1406,Warren,463,MORGAN v. OHIO,4/22/59,,254,,28,41,1,,,0,302,41,300,41,0,10,2,1,1,3,0,1,0,0,30050,3,1,0,3,,2,230,,92,90,1,4,4
2509,1958-124,1958-124-02,1958-124-02-03,1958-124-02-03-01,6/22/59,1,360 U.S. 423,360,423,,79 S. Ct. 1257,3 L. Ed. 2d 1344,1959 U.S. LEXIS 754,1958,1406,Warren,463,MORGAN v. OHIO,4/22/59,,254,,28,41,1,,,0,302,41,300,41,0,10,2,1,1,3,0,1,0,0,30050,3,2,0,2,,2,230,,92,90,1,8,0
2514,1958-127,1958-127-01,1958-127-01-01,1958-127-01-01-01,6/29/59,1,360 U.S. 474,360,474,,79 S. Ct. 1400,3 L. Ed. 2d 1377,1959 U.S. LEXIS 1751,1958,1406,Warren,180,GREENE v. MCELROY et al.,4/1/59,,145,,324,,1,24,,0,55,,32,,0,12,2,1,1,4,0,1,0,0,30120,3,2,0,5,,5,511,,90,90,1,8,1
2515,1958-127,1958-127-01,1958-127-01-02,1958-127-01-02-01,6/29/59,1,360 U.S. 474,360,474,,79 S. Ct. 1400,3 L. Ed. 2d 1377,1959 U.S. LEXIS 1751,1958,1406,Warren,180,GREENE v. MCELROY et al.,4/1/59,,145,,324,,1,24,,0,55,,32,,0,12,2,1,1,4,0,1,0,0,30120,3,2,0,1,,2,213,,90,90,1,8,1
2516,1958-128,1958-128-01,1958-128-01-01,1958-128-01-01-01,6/29/59,1,360 U.S. 525,360,525,,79 S. Ct. 1302,3 L. Ed. 2d 1407,1959 U.S. LEXIS 660,1958,1406,Warren,248,"FARMERS EDUCATIONAL & COOPERATIVE UNION OF AMERICA, NORTH DAKOTA DIVISION, v. WDAY, INC.",3/23/59,,211,,221,,1,,,0,302,39,300,39,0,10,2,2,1,2,0,0,0,0,30030,3,2,0,4,,3,326,,78,90,1,5,4
2519,1958-130,1958-130-01,1958-130-01-02,1958-130-01-02-01,6/29/59,7,360 U.S. 564,360,564,,79 S. Ct. 1335,3 L. Ed. 2d 1434,1959 U.S. LEXIS 661,1958,1406,Warren,350,BARR v. MATTEO et al.,4/20/59,,19,60,8,60,1,,,0,55,,32,,0,11,11,2,1,3,0,1,0,0,30030,3,2,0,7,,,,,91,78,1,5,4
2521,1958-131,1958-131-01,1958-131-01-02,1958-131-01-02-01,6/29/59,1,360 U.S. 593,360,593,,79 S. Ct. 1331,3 L. Ed. 2d 1454,1959 U.S. LEXIS 1802,1958,1406,Warren,57,HOWARD v. LYONS et al.,12/8/58,4/20/59,186,,8,60,1,,,0,80,,21,,0,11,4,2,1,3,0,1,0,0,30030,3,2,0,7,,,,,91,78,1,6,3
2523,1958-133,1958-133-01,1958-133-01-01,1958-133-01-01-01,6/29/59,7,360 U.S. 622,360,622,,79 S. Ct. 1376,3 L. Ed. 2d 1473,1959 U.S. LEXIS 1744,1958,1406,Warren,326,In re SAWYER,5/19/59,,111,,20,15,1,,,0,300,15,29,,1,11,2,1,1,3,0,1,0,0,30010,3,2,0,2,,2,200,,92,90,1,5,4
2526,1958-135,1958-135-01,1958-135-01-01,1958-135-01-01-01,6/29/59,1,360 U.S. 684,360,684,,79 S. Ct. 1362,3 L. Ed. 2d 1512,1959 U.S. LEXIS 662,1958,1406,Warren,394,KINGSLEY INTERNATIONAL PICTURES CORP. v. REGENTS OF THE UNIVERSITY OF THE STATE OF NEW YORK,4/23/59,,156,,19,37,1,117,37,0,302,37,300,37,1,12,3,1,3,3,0,1,0,0,30190,3,2,0,2,,2,200,,94,90,1,9,0
2527,1958-136,1958-136-01,1958-136-01-01,1958-136-01-01-01,6/29/59,6,360 U.S. 709,360,709,,79 S. Ct. 1428,3 L. Ed. 2d 1528,1959 U.S. LEXIS 663,1958,1406,Warren,504,TAYLOR v. MCELROY et al.,3/31/59,,145,,324,,1,24,,0,55,,32,,0,12,12,2,1,5,0,0,0,0,30120,3,2,0,3,,,,,,90,1,9,0
2549,1959-013,1959-013-01,1959-013-01-01,1959-013-01-01-01,12/14/59,1,361 U.S. 147,361,147,,80 S. Ct. 215,4 L. Ed. 2d 205,1959 U.S. LEXIS 1885,1959,1406,Warren,9,SMITH v. CALIFORNIA,11/20/59,,117,,28,6,2,,,0,302,6,302,6,0,1,,1,4,3,0,1,0,0,30190,3,2,0,2,,2,200,,92,90,1,9,0
2580,1959-037,1959-037-01,1959-037-01-01,1959-037-01-01-01,2/23/60,1,361 U.S. 516,361,516,,80 S. Ct. 412,4 L. Ed. 2d 480,1960 U.S. LEXIS 1601,1959,1406,Warren,41,BATES et al. v. CITY OF LITTLE ROCK et al.,11/18/59,,223,,3,5,1,,,0,302,5,300,5,1,10,2,1,4,3,0,1,0,0,30010,3,2,0,2,,2,201,,94,90,1,9,0
2582,1959-039,1959-039-01,1959-039-01-01,1959-039-01-01-01,2/29/60,1,362 U.S. 1,362,1,,80 S. Ct. 527,4 L. Ed. 2d 494,1960 U.S. LEXIS 1564,1959,1406,Warren,152,NELSON et al. v. COUNTY OF LOS ANGELES et al.,1/13/60,,8,6,5,6,1,117,6,0,302,6,300,6,1,12,9,1,1,2,0,0,0,0,30120,3,1,0,2,,2,230,,88,80,1,5,3
2588,1959-043,1959-043-01,1959-043-01-01,1959-043-01-01-01,3/7/60,1,362 U.S. 60,362,60,,80 S. Ct. 536,4 L. Ed. 2d 559,1960 U.S. LEXIS 1948,1959,1406,Warren,154,TALLEY v. CALIFORNIA,1/13/60,,223,,28,6,1,,,0,302,6,301,6,0,11,2,1,4,4,0,1,0,0,30010,3,2,0,2,,2,200,,78,90,1,6,3
2630,1959-073,1959-073-01,1959-073-01-01,1959-073-01-01-01,5/2/60,6,362 U.S. 474,362,474,,80 S. Ct. 840,4 L. Ed. 2d 892,1960 U.S. LEXIS 1231,1959,1406,Warren,342,NOSTRAND et al. v. LITTLE et al.,3/31/60,,8,56,19,56,2,,,0,302,56,300,56,0,1,3,1,1,5,0,1,0,0,30090,3,1,1,3,,2,230,,,90,1,7,2
2655,1959-091,1959-091-01,1959-091-01-01,1959-091-01-01-01,6/6/60,2,363 U.S. 190,363,190,,80 S. Ct. 1037,4 L. Ed. 2d 1140,1960 U.S. LEXIS 1011,1959,1406,Warren,824,KRESHIK et al. v. SAINT NICHOLAS CATHEDRAL OF THE RUSSIAN ORTHODOX CHURCH OF NORTH AMERICA,,,130,,130,,1,,,0,302,37,300,37,0,12,3,1,1,3,0,1,0,0,30160,3,2,0,7,,2,202,,,90,1,9,0
2702,1959-114,1959-114-01,1959-114-01-01,1959-114-01-01-01,6/20/60,1,363 U.S. 603,363,603,,80 S. Ct. 1367,4 L. Ed. 2d 1435,1960 U.S. LEXIS 917,1959,1406,Warren,54,"FLEMMING, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, v. NESTOR",2/24/60,,362,,106,,2,,,0,55,,55,,0,1,,2,1,3,0,1,0,0,30120,3,1,0,4,,6,600,28 U.S.C. § 2282,91,80,1,5,4
2703,1959-114,1959-114-01,1959-114-01-02,1959-114-01-02-01,6/20/60,1,363 U.S. 603,363,603,,80 S. Ct. 1367,4 L. Ed. 2d 1435,1960 U.S. LEXIS 917,1959,1406,Warren,54,"FLEMMING, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, v. NESTOR",2/24/60,,362,,106,,2,,,0,55,,55,,0,1,,2,1,3,0,1,0,0,30120,3,1,0,1,,3,370,,91,80,1,5,4
2704,1959-114,1959-114-01,1959-114-01-03,1959-114-01-03-01,6/20/60,1,363 U.S. 603,363,603,,80 S. Ct. 1367,4 L. Ed. 2d 1435,1960 U.S. LEXIS 917,1959,1406,Warren,54,"FLEMMING, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, v. NESTOR",2/24/60,,362,,106,,2,,,0,55,,55,,0,1,,2,1,3,0,1,0,0,30120,3,1,0,1,,2,207,,91,80,1,5,4
2705,1959-114,1959-114-01,1959-114-01-04,1959-114-01-04-01,6/20/60,1,363 U.S. 603,363,603,,80 S. Ct. 1367,4 L. Ed. 2d 1435,1960 U.S. LEXIS 917,1959,1406,Warren,54,"FLEMMING, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, v. NESTOR",2/24/60,,362,,106,,2,,,0,55,,55,,0,1,,2,1,3,0,1,0,0,30120,3,1,0,1,,1,141,,91,80,1,5,4
2706,1959-114,1959-114-01,1959-114-01-05,1959-114-01-05-01,6/20/60,1,363 U.S. 603,363,603,,80 S. Ct. 1367,4 L. Ed. 2d 1435,1960 U.S. LEXIS 917,1959,1406,Warren,54,"FLEMMING, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, v. NESTOR",2/24/60,,362,,106,,2,,,0,55,,55,,0,1,,2,1,3,0,1,0,0,30120,3,1,0,1,,2,217,,91,80,1,5,4
2707,1959-114,1959-114-01,1959-114-01-06,1959-114-01-06-01,6/20/60,1,363 U.S. 603,363,603,,80 S. Ct. 1367,4 L. Ed. 2d 1435,1960 U.S. LEXIS 917,1959,1406,Warren,54,"FLEMMING, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, v. NESTOR",2/24/60,,362,,106,,2,,,0,55,,55,,0,1,,2,1,3,0,1,0,0,30120,3,1,0,1,,1,122,,91,80,1,5,4
2719,1959-124,1959-124-01,1959-124-01-01,1959-124-01-01-01,6/27/60,1,364 U.S. 59,364,59,,80 S. Ct. 1554,4 L. Ed. 2d 1569,1960 U.S. LEXIS 764,1959,1406,Warren,416,GONZALES v. UNITED STATES,5/2/60,,142,,27,,1,,,0,52,,30,,0,10,2,1,1,2,0,0,0,0,30130,3,1,0,1,,3,366,,88,80,1,5,4
2720,1959-124,1959-124-01,1959-124-01-02,1959-124-01-02-01,6/27/60,1,364 U.S. 59,364,59,,80 S. Ct. 1554,4 L. Ed. 2d 1569,1960 U.S. LEXIS 764,1959,1406,Warren,416,GONZALES v. UNITED STATES,5/2/60,,142,,27,,1,,,0,52,,30,,0,10,2,1,1,2,0,0,0,0,30130,3,1,0,1,,2,207,,88,80,1,5,4
2747,1960-008,1960-008-01,1960-008-01-01,1960-008-01-01-01,11/14/60,1,364 U.S. 372,364,372,,81 S. Ct. 138,5 L. Ed. 2d 136,1960 U.S. LEXIS 191,1960,1406,Warren,33,MCPHAUL v. UNITED STATES,10/13/60,,254,,27,,1,,,0,81,,26,,0,12,2,1,1,2,0,0,0,0,30050,3,1,0,1,,2,210,,93,80,1,5,4
2748,1960-008,1960-008-01,1960-008-01-02,1960-008-01-02-01,11/14/60,1,364 U.S. 372,364,372,,81 S. Ct. 138,5 L. Ed. 2d 136,1960 U.S. LEXIS 191,1960,1406,Warren,33,MCPHAUL v. UNITED STATES,10/13/60,,254,,27,,1,,,0,81,,26,,0,12,2,1,1,2,0,0,0,0,30050,3,1,0,1,,2,205,,93,80,1,5,4
2749,1960-009,1960-009-01,1960-009-01-01,1960-009-01-01-01,11/14/60,2,364 U.S. 388,364,388,,81 S. Ct. 153,5 L. Ed. 2d 148,1960 U.S. LEXIS 192,1960,1406,Warren,336,"UPHAUS v. WYMAN, ATTORNEY GENERAL OF NEW HAMPSHIRE",,,254,,19,34,2,,,0,302,34,300,34,0,1,2,1,1,9,0,0,0,0,30050,3,1,0,3,,,,,,80,1,6,3
2760,1960-019,1960-019-01,1960-019-01-01,1960-019-01-01-01,12/12/60,1,364 U.S. 479,364,479,,81 S. Ct. 247,5 L. Ed. 2d 231,1960 U.S. LEXIS 25,1960,1406,Warren,14,SHELTON et al. v. TUCKER et al.,11/7/60,,10,5,19,5,2,,,1,46,,46,,0,1,,1,3,3,0,1,0,0,30010,3,2,0,2,,2,201,,94,90,1,5,4
2761,1960-019,1960-019-02,1960-019-02-01,1960-019-02-01-01,12/12/60,1,364 U.S. 479,364,479,,81 S. Ct. 247,5 L. Ed. 2d 231,1960 U.S. LEXIS 25,1960,1406,Warren,83,CARR et al. v. YOUNG et al.,11/7/60,,8,5,19,5,1,,,0,302,5,300,5,0,1,2,1,3,3,0,1,0,0,30010,3,2,0,2,,2,201,,94,90,1,5,4
2773,1960-028,1960-028-01,1960-028-01-01,1960-028-01-01-01,1/16/61,1,364 U.S. 631,364,631,,81 S. Ct. 358,5 L. Ed. 2d 340,1961 U.S. LEXIS 2044,1960,1406,Warren,10,TRAVIS v. UNITED STATES,12/13/60,,100,,27,,1,,,0,52,,30,,1,12,2,1,1,3,0,1,0,0,30060,3,2,0,4,,3,356,,81,90,1,6,3
2780,1960-033,1960-033-01,1960-033-01-01,1960-033-01-01-01,1/23/61,1,365 U.S. 43,365,43,,81 S. Ct. 391,5 L. Ed. 2d 403,1961 U.S. LEXIS 2042,1960,1406,Warren,34,TIMES FILM CORP. v. CITY OF CHICAGO et al.,10/19/60,,156,,3,17,1,,,0,66,,27,,0,13,2,1,1,2,0,0,0,0,30010,3,1,0,2,,2,200,,88,80,1,5,4
2800,1960-051,1960-051-01,1960-051-01-01,1960-051-01-01-01,2/27/61,1,365 U.S. 399,365,399,,81 S. Ct. 567,5 L. Ed. 2d 633,1961 U.S. LEXIS 1648,1960,1406,Warren,37,WILKINSON v. UNITED STATES,11/17/60,,254,,27,,1,,,0,60,,25,,0,11,2,1,1,2,0,0,0,0,30050,3,1,0,1,,2,201,,94,80,1,5,4
2801,1960-051,1960-051-01,1960-051-01-02,1960-051-01-02-01,2/27/61,1,365 U.S. 399,365,399,,81 S. Ct. 567,5 L. Ed. 2d 633,1961 U.S. LEXIS 1648,1960,1406,Warren,37,WILKINSON v. UNITED STATES,11/17/60,,254,,27,,1,,,0,60,,25,,0,11,2,1,1,2,0,0,0,0,30050,3,1,0,1,,2,207,,94,80,1,5,4
2802,1960-052,1960-052-01,1960-052-01-01,1960-052-01-01-01,2/27/61,1,365 U.S. 431,365,431,,81 S. Ct. 584,5 L. Ed. 2d 653,1961 U.S. LEXIS 1649,1960,1406,Warren,54,BRADEN v. UNITED STATES,11/17/60,,254,,27,,1,,,0,60,,25,,0,12,2,1,1,2,0,0,0,0,30050,3,1,0,1,,2,201,,94,80,1,5,4
2803,1960-052,1960-052-01,1960-052-01-02,1960-052-01-02-01,2/27/61,1,365 U.S. 431,365,431,,81 S. Ct. 584,5 L. Ed. 2d 653,1961 U.S. LEXIS 1649,1960,1406,Warren,54,BRADEN v. UNITED STATES,11/17/60,,254,,27,,1,,,0,60,,25,,0,12,2,1,1,2,0,0,0,0,30050,3,1,0,1,,2,207,,94,80,1,5,4
2839,1960-080,1960-080-01,1960-080-01-01,1960-080-01-01-01,4/24/61,1,366 U.S. 36,366,36,,81 S. Ct. 997,6 L. Ed. 2d 105,1961 U.S. LEXIS 1267,1960,1406,Warren,28,KONIGSBERG v. STATE BAR OF CALIFORNIA et al.,12/14/60,,111,,28,6,1,117,6,0,300,6,300,6,1,12,9,1,1,2,0,0,0,0,30080,3,1,0,2,,2,230,,91,80,1,5,4
2840,1960-081,1960-081-01,1960-081-01-01,1960-081-01-01-01,4/24/61,1,366 U.S. 82,366,82,,81 S. Ct. 978,6 L. Ed. 2d 135,1961 U.S. LEXIS 1268,1960,1406,Warren,58,In re ANASTAPLO,12/14/60,,111,,20,17,1,117,17,0,300,17,300,17,1,12,2,1,1,2,0,0,0,0,30080,3,1,0,2,,2,230,,91,80,1,5,4
2852,1960-091,1960-091-01,1960-091-01-01,1960-091-01-01-01,5/15/61,1,366 U.S. 259,366,259,,81 S. Ct. 1076,6 L. Ed. 2d 277,1961 U.S. LEXIS 1158,1960,1406,Warren,105,SLAGLE et al. v. OHIO,2/27/61,,254,,28,41,1,,,0,302,41,300,41,0,10,9,1,1,6,0,1,0,0,30050,3,2,0,2,,2,210,,93,90,1,8,0
2858,1960-094,1960-094-01,1960-094-01-01,1960-094-01-01-01,5/22/61,1,366 U.S. 293,366,293,,81 S. Ct. 1333,6 L. Ed. 2d 301,1961 U.S. LEXIS 2012,1960,1406,Warren,294,"LOUISIANA ex rel. GREMILLION, ATTORNEY GENERAL, et al. v. NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE et al.",4/26/61,,19,22,223,,2,,,1,75,,75,,0,1,,2,3,2,0,0,0,0,30010,3,2,0,3,2,2,201,,81,90,1,9,0
2870,1960-102,1960-102-01,1960-102-01-01,1960-102-01-01-01,5/29/61,1,366 U.S. 420,366,420,,81 S. Ct. 1101,6 L. Ed. 2d 393,1961 U.S. LEXIS 2008,1960,1406,Warren,8,MCGOWAN et al. v. MARYLAND,12/8/60,,145,,28,25,2,,,0,302,25,300,25,0,1,2,1,1,2,0,0,0,0,30170,3,1,0,2,,2,231,,90,90,1,8,1
2871,1960-102,1960-102-01,1960-102-01-02,1960-102-01-02-01,5/29/61,1,366 U.S. 420,366,420,,81 S. Ct. 1101,6 L. Ed. 2d 393,1961 U.S. LEXIS 2008,1960,1406,Warren,8,MCGOWAN et al. v. MARYLAND,12/8/60,,145,,28,25,2,,,0,302,25,300,25,0,1,2,1,1,2,0,0,0,0,30170,3,1,0,2,,2,230,,90,90,1,8,1
2872,1960-102,1960-102-01,1960-102-01-03,1960-102-01-03-01,5/29/61,1,366 U.S. 420,366,420,,81 S. Ct. 1101,6 L. Ed. 2d 393,1961 U.S. LEXIS 2008,1960,1406,Warren,8,MCGOWAN et al. v. MARYLAND,12/8/60,,145,,28,25,2,,,0,302,25,300,25,0,1,2,1,1,2,0,0,0,0,30170,3,1,0,2,,2,203,,90,90,1,8,1
2873,1960-103,1960-103-01,1960-103-01-01,1960-103-01-01-01,5/29/61,7,366 U.S. 617,366,617,,81 S. Ct. 1122,6 L. Ed. 2d 536,1961 U.S. LEXIS 1060,1960,1406,Warren,11,"GALLAGHER, CHIEF OF POLICE OF SPRINGFIELD, MASSACHUSETTS, et al. v. CROWN KOSHER SUPER MARKET OF MASSACHUSETTS, INC., et al.",12/7/60,,28,26,238,,2,,,1,80,,80,,1,1,,2,1,3,0,1,0,0,30160,3,1,0,2,,2,231,,90,90,1,6,3
2874,1960-103,1960-103-01,1960-103-01-02,1960-103-01-02-01,5/29/61,7,366 U.S. 617,366,617,,81 S. Ct. 1122,6 L. Ed. 2d 536,1961 U.S. LEXIS 1060,1960,1406,Warren,11,"GALLAGHER, CHIEF OF POLICE OF SPRINGFIELD, MASSACHUSETTS, et al. v. CROWN KOSHER SUPER MARKET OF MASSACHUSETTS, INC., et al.",12/7/60,,28,26,238,,2,,,1,80,,80,,1,1,,2,1,3,0,1,0,0,30160,3,1,0,2,,2,203,,90,90,1,6,3
2875,1960-103,1960-103-01,1960-103-01-03,1960-103-01-03-01,5/29/61,7,366 U.S. 617,366,617,,81 S. Ct. 1122,6 L. Ed. 2d 536,1961 U.S. LEXIS 1060,1960,1406,Warren,11,"GALLAGHER, CHIEF OF POLICE OF SPRINGFIELD, MASSACHUSETTS, et al. v. CROWN KOSHER SUPER MARKET OF MASSACHUSETTS, INC., et al.",12/7/60,,28,26,238,,2,,,1,80,,80,,1,1,,2,1,3,0,1,0,0,30160,3,1,0,2,,2,202,,90,90,1,6,3
2876,1960-104,1960-104-01,1960-104-01-01,1960-104-01-01-01,5/29/61,1,366 U.S. 582,366,582,,81 S. Ct. 1135,6 L. Ed. 2d 551,1961 U.S. LEXIS 1058,1960,1406,Warren,36,"TWO GUYS FROM HARRISON-ALLENTOWN, INC., v. MCGINLEY, DISTRICT ATTORNEY, LEHIGH COUNTY, PENNSYLVANIA, et al.",12/8/60,,238,,28,45,2,,,1,109,,109,,0,1,,1,1,2,0,0,0,0,30170,3,1,0,3,2,2,231,,90,90,1,8,1
2877,1960-104,1960-104-01,1960-104-01-02,1960-104-01-02-01,5/29/61,1,366 U.S. 582,366,582,,81 S. Ct. 1135,6 L. Ed. 2d 551,1961 U.S. LEXIS 1058,1960,1406,Warren,36,"TWO GUYS FROM HARRISON-ALLENTOWN, INC., v. MCGINLEY, DISTRICT ATTORNEY, LEHIGH COUNTY, PENNSYLVANIA, et al.",12/8/60,,238,,28,45,2,,,1,109,,109,,0,1,,1,1,2,0,0,0,0,30170,3,1,0,3,2,2,203,,90,90,1,8,1
2878,1960-105,1960-105-01,1960-105-01-01,1960-105-01-01-01,5/29/61,7,366 U.S. 599,366,599,,81 S. Ct. 1144,6 L. Ed. 2d 563,1961 U.S. LEXIS 1059,1960,1406,Warren,67,"BRAUNFELD et al. v. BROWN, COMMISSIONER OF POLICE OF PHILADELPHIA, et al.",12/8/60,,238,,28,45,2,,,1,109,,109,,0,1,9,1,1,2,0,0,0,0,30160,3,1,0,2,,2,231,,90,90,1,5,4
2879,1960-105,1960-105-01,1960-105-01-02,1960-105-01-02-01,5/29/61,7,366 U.S. 599,366,599,,81 S. Ct. 1144,6 L. Ed. 2d 563,1961 U.S. LEXIS 1059,1960,1406,Warren,67,"BRAUNFELD et al. v. BROWN, COMMISSIONER OF POLICE OF PHILADELPHIA, et al.",12/8/60,,238,,28,45,2,,,1,109,,109,,0,1,9,1,1,2,0,0,0,0,30160,3,1,0,2,,2,203,,90,90,1,5,4
2880,1960-105,1960-105-01,1960-105-01-03,1960-105-01-03-01,5/29/61,7,366 U.S. 599,366,599,,81 S. Ct. 1144,6 L. Ed. 2d 563,1961 U.S. LEXIS 1059,1960,1406,Warren,67,"BRAUNFELD et al. v. BROWN, COMMISSIONER OF POLICE OF PHILADELPHIA, et al.",12/8/60,,238,,28,45,2,,,1,109,,109,,0,1,9,1,1,2,0,0,0,0,30160,3,1,0,2,,2,202,,90,90,1,5,4
2891,1960-111,1960-111-01,1960-111-01-01,1960-111-01-01-01,6/5/61,1,367 U.S. 1,367,1,,81 S. Ct. 1357,6 L. Ed. 2d 625,1961 U.S. LEXIS 1934,1960,1406,Warren,12,COMMUNIST PARTY OF THE UNITED STATES v. SUBVERSIVE ACTIVITIES CONTROL BOARD,10/11/60,,211,,403,,1,103,,0,32,,32,,1,10,2,1,1,2,0,0,0,0,30060,3,1,0,1,,3,369,,80,80,1,5,4
2892,1960-111,1960-111-01,1960-111-01-02,1960-111-01-02-01,6/5/61,1,367 U.S. 1,367,1,,81 S. Ct. 1357,6 L. Ed. 2d 625,1961 U.S. LEXIS 1934,1960,1406,Warren,12,COMMUNIST PARTY OF THE UNITED STATES v. SUBVERSIVE ACTIVITIES CONTROL BOARD,10/11/60,,211,,403,,1,103,,0,32,,32,,1,10,2,1,1,2,0,0,0,0,30060,3,1,0,1,,2,201,,80,80,1,5,4
2893,1960-111,1960-111-01,1960-111-01-03,1960-111-01-03-01,6/5/61,1,367 U.S. 1,367,1,,81 S. Ct. 1357,6 L. Ed. 2d 625,1961 U.S. LEXIS 1934,1960,1406,Warren,12,COMMUNIST PARTY OF THE UNITED STATES v. SUBVERSIVE ACTIVITIES CONTROL BOARD,10/11/60,,211,,403,,1,103,,0,32,,32,,1,10,2,1,1,2,0,0,0,0,30060,3,1,0,1,,2,207,,80,80,1,5,4
2894,1960-111,1960-111-01,1960-111-01-04,1960-111-01-04-01,6/5/61,1,367 U.S. 1,367,1,,81 S. Ct. 1357,6 L. Ed. 2d 625,1961 U.S. LEXIS 1934,1960,1406,Warren,12,COMMUNIST PARTY OF THE UNITED STATES v. SUBVERSIVE ACTIVITIES CONTROL BOARD,10/11/60,,211,,403,,1,103,,0,32,,32,,1,10,2,1,1,2,0,0,0,0,30060,3,1,0,1,,1,122,,80,80,1,5,4
2899,1960-115,1960-115-01,1960-115-01-01,1960-115-01-01-01,6/5/61,1,367 U.S. 203,367,203,,81 S. Ct. 1469,6 L. Ed. 2d 782,1961 U.S. LEXIS 2003,1960,1406,Warren,1,SCALES v. UNITED STATES,4/29/59,10/10/60,100,,27,,1,,,0,99,,24,,0,12,2,1,1,2,0,0,0,0,30060,3,1,0,4,,3,369,,91,80,1,5,4
